first_name,surname,email,gender
Lydia,Rowe,ipsum.porta@google.org,FEMALE
Allistair,Conway,quisque.fringilla.euismod@yahoo.net,FEMALE
Kieran,Duffy,nunc.in.at@icloud.couk,MALE
Georgia,Smith,nonummy@icloud.com,MALE
Arthur,Pugh,elit@outlook.net,FEMALE
Garrett,Bullock,pellentesque.habitant@aol.net,FEMALE
Derek,Shaffer,proin.sed.turpis@aol.edu,MALE
Murphy,Patrick,vel.venenatis@aol.couk,MALE
Duncan,Kinney,integer.vulputate@aol.edu,FEMALE
Donovan,Parker,sit.amet.consectetuer@hotmail.co.uk,FEMALE
Buckminster,Weaver,aliquam.tincidunt.nunc@aol.net,MALE
Talon,Arnold,congue.elit@protonmail.couk,MALE
Brennan,Keith,fringilla.donec@yahoo.org,FEMALE
David,Walker,mi@yahoo.org,FEMALE
